Date,Open,High,Low,Close,Adj Close,Volume
30/04/14,null,null,null,null,null,null
31/05/14,254.899994,276.149994,252.669998,268.625,259.490326,411652990
30/06/14,269.899994,272.899994,236.639999,243.925003,235.630249,375131560
31/07/14,241.5,257.73999,235.009995,246.070007,237.702332,348137400
31/08/14,247.699997,264.399994,235.005005,244.570007,236.253342,383902910
30/09/14,244.5,270.980011,234.604996,270.279999,261.08905,272704970
31/10/14,270.600006,322.5,269.424988,321.399994,310.470703,417548280
30/11/14,322.799988,326.950012,287,311.850006,301.245422,474176043
31/12/14,312.450012,336,295.149994,308.950012,298.444061,309069932
31/01/15,309.5,313.149994,275.700012,299.899994,289.701782,388866504
28/02/15,305.899994,315,255.199997,267.049988,257.968872,333266917
31/03/15,266.649994,294.899994,263.149994,269.75,260.577057,265529226
30/04/15,269.75,305,259.649994,278.149994,268.691376,323311496
31/05/15,278.649994,282,248.850006,262.75,257.019257,323218125
30/06/15,263.100006,274.649994,252.300003,270.049988,264.160034,214330493
31/07/15,270,291.799988,240,247.350006,241.955154,438049369
31/08/15,244.850006,248.449997,220.149994,237.149994,231.9776,303647862
30/09/15,241.199997,257.149994,234.399994,237.050003,231.879807,211657989
31/10/15,238,253,232.699997,248.649994,243.226776,225414546
30/11/15,250.850006,251.899994,224,224.449997,219.554596,228912040
31/12/15,225,228.899994,171.5,179.899994,175.976257,403912638
31/01/16,181.949997,181.949997,148.25,158.75,155.287567,640117323
29/02/16,160.5,198.75,158.550003,194.25,190.01329,485872509
31/03/16,193.699997,202.550003,180.199997,189,184.877792,390063790
30/04/16,187.600006,205.699997,166.399994,204.949997,200.479904,535804201
31/05/16,205.949997,221.899994,195.399994,218.800003,214.027832,671633313
30/06/16,220.800003,235.149994,216.5,229.399994,227.344009,333949518
31/07/16,230.800003,260.399994,223.199997,252.5,250.236984,472055972
31/08/16,251.949997,271.600006,243.5,251.25,248.998184,302189008
30/09/16,253,264.899994,245.850006,258,255.687683,244910301
31/10/16,257,288.799988,235,258.350006,256.034546,486405242
30/11/16,259.649994,269.350006,243.100006,250.199997,247.957596,258918951
31/12/16,252.5,268.200012,241.100006,260.350006,258.016632,266397653
31/01/17,262,282.799988,261.600006,269.200012,266.787323,301070852
28/02/17,270,295,264.25,293.399994,290.770416,320559666
31/03/17,294.799988,298.75,279.25,289.75,287.153137,245342314
30/04/17,289.75,315.299988,281.049988,288.299988,285.716125,379508946
31/05/17,287.950012,295.899994,269.700012,273.649994,273.649994,309261090
30/06/17,274.100006,313.850006,272.049988,312.5,312.5,252255178
31/07/17,314,314.799988,271.200012,277.75,277.75,337859310
31/08/17,277.649994,280.399994,249.5,253.850006,253.850006,251103632
30/09/17,253.850006,351.299988,241.149994,305.799988,305.799988,635028553
31/10/17,309.399994,346.700012,306.649994,320.350006,320.350006,523180524
30/11/17,321.5,323.850006,300.399994,309.899994,309.899994,308352494
31/12/17,310.600006,332.75,292.600006,313.25,313.25,467226485
31/01/18,316.899994,317.399994,256.649994,268,268,506361276
28/02/18,266.299988,270,232.350006,249.899994,249.899994,491062494
31/03/18,251.800003,265,232.5,246.399994,246.399994,387131760
30/04/18,246.399994,274.799988,237.850006,269.549988,269.549988,493103116
31/05/18,269.25,289.649994,255.699997,259.350006,259.350006,370271032
30/06/18,258.950012,302.399994,250.449997,293.5,293.5,401092649
31/07/18,294.5,326.399994,288.350006,309.600006,309.600006,621551541
31/08/18,312.5,312.5,253.399994,265.5,265.5,478016576
30/09/18,265.5,282.75,247.399994,281.399994,281.399994,574314551
31/10/18,283,300,273.350006,284.649994,284.649994,468696134
30/11/18,286.700012,302,268.350006,295.899994,295.899994,314605179
31/12/18,297.5,307.5,276.549988,293.649994,293.649994,354323797
31/01/19,296.899994,302.700012,258.799988,269.049988,269.049988,408697355
28/02/19,270.549988,339.649994,270.100006,320.75,320.75,472623392
31/03/19,321.799988,332.450012,303.600006,309.950012,309.950012,380333752
30/04/19,309.950012,317.899994,292.450012,315.75,315.75,267152551
17/05/19,315.649994,321.950012,313.450012,319.25,319.25,25837367
